readId	equalMatches
129:2804|3eaa4840-a3fe-4979-a2b4-5b06c4fee3d4	2459
112:2783|41159e68-33aa-4bbb-999f-318daa2e56ee	2459
127:2767|6baac53a-2ee1-4a4f-9944-1d7680e57183	2459
111:3157|11bc7b0a-1980-4ac8-a739-6a64bdf97d8c	2459
93:2834|7b6579c6-c095-495d-afc2-893a4da22ab0	2459
109:2854|b5836734-2561-4c06-8f9c-92132468ac0e	2459
139:1529|06547748-8033-4e3a-9f4f-a648430af721	2459
128:1502|e8082988-198f-4645-ba8b-d5bd7a36be46	2459
114:1509|76d82cfb-7448-459e-b420-93d9f3870d4c	2459
103:1501|961dfa5a-235b-4ebd-b661-0a80be680769	2459
111:1494|50e520cc-4656-455a-a475-e42624ae37b6	2459
126:1422|df9c8c0a-12ac-49f4-a67e-9006cac8312e	1957
108:355|6f9e2ca3-8bf5-42c4-aad6-d2683d64b498	1957
102:353|724758af-a7b1-4dac-80ac-c44964b134de	1957
146:511|2f223949-7a6b-4d0e-80af-f8eda6ce380d	47
161:527|d23d7f7d-2a45-4909-8747-ee141721cccb	47
106:438|7c7ff314-58f3-4245-b4e0-1226f2780699	47
135:499|c5b5a721-8a1a-4bf4-ab6d-1802e8f65108	47
123:488|ab94a0bd-5630-4cde-b7e3-d80dcf0172c3	47
121:351|c98dbf0c-f835-4135-9cdd-f0a05e7bd69c	47
136:359|946b92cd-3e1e-44ff-88e5-c7825b32cb12	47
124:353|11a18705-0228-4792-94ce-3016a91bc7c9	47
131:378|15f2a8db-d665-4b95-abef-d31984f3c5b8	47
119:345|e5786c01-f43d-43fe-8375-12dab8df5473	47
135:303|304d2845-ce24-4d2f-a70d-4f99ae2645d6	47
140:331|3db60948-02d1-4afc-8c84-3a01f012d09c	47
128:331|1b654832-3305-4a7d-a0af-767f62336e94	47
140:343|0bc11f52-fa9c-4be5-92ec-63c330e95ed5	47
105:521|4621a51c-a81c-4fe6-a50f-439b097568b0	48
124:624|07096a74-2f68-44e2-b488-9bcc95f3e07f	48
133:445|56d15dd7-08a7-4dfe-b5c7-61839cf96227	48
141:534|6b771a98-49f0-47a0-87b4-0dddc5a0a1d3	48
137:513|23d2df30-7dde-4ff3-b3cf-08f672045c82	48
110:562|ffb3e956-3e3e-4530-b8a0-1be2fbc89239	48
130:421|b820d228-1246-44d3-81c9-96af8435706d	48
112:445|3c882ad0-5c7e-419f-9816-61392f21c89a	48
135:523|65baa2ad-9b73-4262-b340-27cc4543075a	48
111:535|480cebee-fdec-427a-9d3c-8a539b473894	48
103:589|373adfaf-f677-45ef-a6ef-2fdff660b1db	48
124:801|536dd226-aa2e-4408-8224-da930cd5d024	50
138:536|9de7c038-111c-4d83-aa4a-98b6aaf2f599	53
140:502|4f896884-714d-4e16-8fc1-4c48b7ef1b4b	53
138:330|83a1460f-202c-4ca1-a362-3e90570af9b5	1960
133:550|9d6004bb-a4b5-4f5b-b2b8-bf0daa6c1c22	57
82:477|e42f8dd3-fe64-414b-bc4f-49fee4748e39	57
109:3463|badddc02-e949-4ac8-a096-b0a85d1e4051	2933
129:481|d6f620b1-9092-4dd2-b3ac-b5b7836cda0b	61
141:521|dd3b3d0a-9d9e-4fa2-a91b-9a388e5dfdd3	61
134:529|48113126-7ede-4f24-8054-63caac74ee7e	61
126:484|d9fc1a60-e2ef-477b-adae-616d9dc294c1	61
131:470|85fc9f23-88c9-4df4-adc6-64319e8fe261	61
131:485|bcd2d675-7053-4631-85ee-b1e1801aa73b	61
142:770|cdf10448-10d6-4e05-b17b-0c1e338bb5fe	63
141:786|9a755866-999c-45d7-befc-9d3e1923e689	63
131:757|1be67445-3d9a-4b17-9b8b-3425db1e30f5	63
137:769|1b8ab527-29e0-4420-b03a-fd57bcc4d3ca	63
130:757|98c0a419-30f7-4dcb-b8b3-be98133c978e	63
113:1025|aea4c80a-b0c9-4482-9421-2fb951cf7c32	2460
110:1028|267954b0-b55e-44c5-a707-fd9528898302	2460
140:1035|56648ef4-6796-49ac-86ac-4ef1493e150f	2460
107:1006|13605870-2a43-4d86-b640-9bed23056361	2460
112:2314|307a9009-811c-400c-9db2-fbaef8e7ca90	64
108:2340|8aab580e-fc6b-49a4-b777-32c62ed1b22b	64
105:3409|e314615c-2d8e-43bd-9b1b-4a1a503a57dc	2462
106:3297|37dbdefc-b750-4e31-86b2-e48aba232d9b	2462
103:1524|40034df8-9595-4bd2-864f-371114f02998	2462
108:1560|85fccdde-9904-4bf6-87e3-ae9825e3e40c	2462
106:3253|2892ad85-a53f-4f7c-9ebd-475f711ac2d7	2462
121:3233|fb874213-f88f-400b-becc-1757e0291257	2462
107:1470|096ec6bc-138c-4b0a-b130-088fd031f374	2462
135:562|a689a676-f394-4936-84bf-050ea6b3962c	72
134:572|e37f4e76-e440-4614-afd4-3e02767f8c1d	72
135:550|7c3041be-4b87-4296-8a69-a1220dfc9cbf	72
157:778|006a8589-2bad-4040-b94e-9a19b6033296	71
130:774|36f9a392-a520-4be5-87d8-c69df685b183	71
